"Genus","crc_pos","crc_neg","other_pos","other_neg"
"Alphaturrivirus",0,189,0,1858
"Alphavirus",0,189,0,1858
"Alteracholeplasma",0,189,2,1856
"Altererythrobacter",0,189,23,1835
"Alternavirus",1,188,0,1858
"Alteromonas",3,186,15,1843
"Altibacter",0,189,0,1858
"Alysiella",0,189,3,1855
"Amantichitinum",0,189,0,1858
"Ambidensovirus",0,189,0,1858
"Amdoparvovirus",0,189,0,1858
"Amedibacterium",5,184,0,1858
"Amigovirus",0,189,0,1858
"Aminiphilus",0,189,0,1858
"Aminipila",2,187,9,1849
"Aminithiophilus",2,187,3,1855
"Aminobacter",0,189,68,1790
"Aminobacterium",0,189,3,1855
"Aminomonas",0,189,0,1858
"Ammonifex",0,189,0,1858
"Amniculibacterium",0,189,2,1856
"Amorphus",0,189,0,1858
"Amoyvirus",0,189,0,1858
"Ampelovirus",0,189,0,1858
"Amphibacillus",0,189,1,1857
"Amphritea",0,189,0,1858
"Ampullavirus",0,189,0,1858
"Amycolatopsis",0,189,45,1813
"Amycolicicoccus",0,189,0,1858
"Amylibacter",0,189,2,1856
"Amylolactobacillus",0,189,0,1858
"Anabaena",0,189,6,1852
"Anaeroarcus",0,189,0,1858
"Anaerobacillus",0,189,0,1858
"Anaerobaculum",0,189,0,1858
"Anaerobutyricum",56,133,8,1850
"Anaerococcus",14,175,49,1809
"Anaerocolumna",7,182,17,1841
"Anaerofustis",0,189,0,1858
"Anaerohalosphaera",0,189,0,1858
"Anaerolinea",0,189,1,1857
"Anaeromicropila",2,187,7,1851
"Anaeromusa",0,189,0,1858
"Anaeromyxobacter",2,187,36,1822
"Anaeropeptidivorans",0,189,2,1856
"Anaerophaga",0,189,0,1858
"Anaerosalibacter",0,189,0,1858
"Anaerosporomusa",0,189,0,1858
"Anaerostipes",77,112,18,1840
"Anaerotignum",6,183,2,1856
"Anaerotruncus",51,138,5,1853
"Anaerovibrio",0,189,0,1858
"Anaerovorax",0,189,0,1858
"Anaplasma",0,189,0,1858
"Anaposvirus",0,189,0,1858
"Anatilimnocola",0,189,0,1858
"Anativirus",0,189,0,1858
"Anayavirus",0,189,0,1858
"Ancylobacter",0,189,44,1814
"Andhravirus",0,189,1,1857
"Anditalea",0,189,0,1858
"Andreprevotia",0,189,0,1858
"Andromedalikevirus",0,189,0,1858
"Andromedavirus",0,189,0,1858
"Aneurinibacillus",0,189,2,1856
"Angelvirus",0,189,0,1858
"Angustibacter",0,189,0,1858
"Annadreamyvirus",0,189,0,1858
"Anoxybacillus",0,189,3,1855
"Anoxybacter",0,189,0,1858
"Anphevirus",0,189,0,1858
"Anseongella",0,189,3,1855
"Antarcticibacterium",0,189,1,1857
"Antarctobacter",0,189,11,1847
"Antennavirus",0,189,0,1858
"Anthocerotibacter",0,189,1,1857
"Anulavirus",0,189,0,1858
"Aokuangvirus",0,189,0,1858
"Aparavirus",0,189,0,1858
"Aphanizomenon",0,189,0,1858
"Aphanocapsa",0,189,0,1858
"Aphthovirus",0,189,0,1858
"Apibacter",1,188,1,1857
"Apilactobacillus",0,189,2,1856
"Apscaviroid",0,189,0,1858
"Aptresvirus",0,189,0,1858
"Aqualcavirus",0,189,0,1858
"Aquamavirus",0,189,0,1858
"Aquamicrobium",0,189,0,1858
"Aquaparamyxovirus",0,189,0,1858
"Aquareovirus",0,189,0,1858
"Aquaspirillum",0,189,3,1855
"Aquella",0,189,0,1858
"Aquibium",0,189,42,1816
"Aquicella",0,189,0,1858
"Aquifex",0,189,0,1858
"Aquihabitans",0,189,6,1852
"Aquiluna",0,189,0,1858
"Aquimarina",0,189,1,1857
"Aquincola",6,183,45,1813
"Aquirhabdus",0,189,1,1857
"Aquirufa",0,189,0,1858
"Aquisalimonas",0,189,2,1856
"Aquisediminimonas",0,189,11,1847
"Aquisphaera",0,189,9,1849
"Aquitalea",0,189,13,1845
"Arachidicoccus",0,189,1,1857
"Arachnia",0,189,28,1830
"Arcanobacterium",1,188,3,1855
"Archaeoglobus",0,189,0,1858
"Archangium",0,189,23,1835
"Arcobacter",0,189,6,1852
"Arcticibacter",0,189,0,1858
"Arcticibacterium",0,189,0,1858
"Ardenticatena",0,189,0,1858
"Arenavirus",0,189,0,1858
"Arenibacter",0,189,0,1858
"Arenimonas",0,189,0,1858
"Arenitalea",0,189,0,1858
"Arepavirus",0,189,0,1858
"Aresaunavirus",0,189,0,1858
"Arhodomonas",0,189,0,1858
"Aristophania",0,189,0,1858
"Aromatoleum",0,189,28,1830
"Arsenicicoccus",0,189,2,1856
"Arsenophonus",0,189,0,1858
"Arsukibacterium",0,189,0,1858
"Arterivirus",0,189,0,1858
"Arthrospira",0,189,0,1858
"Asaia",0,189,0,1858
"Asanoa",0,189,0,1858
"Ascovirus",0,189,0,1858
"Asfivirus",0,189,0,1858
"Asteriusvirus",0,189,0,1858
"Atadenovirus",0,189,0,1858
"Athalassotoga",0,189,0,1858
"Atlantibacter",0,189,0,1858
"Atopobium",0,189,3,1855
"Atribacter",0,189,0,1858
"Attisvirus",0,189,0,1858
"Audreyjarvisvirus",0,189,0,1858
"Aurantiacibacter",0,189,19,1839
"Aurantimicrobium",0,189,0,1858
"Aureibaculum",0,189,0,1858
"Aureimonas",0,189,49,1809
"Aureispira",0,189,0,1858
"Aureliella",0,189,1,1857
"Auritidibacter",0,189,0,1858
"Aurivirus",0,189,0,1858
"Aurodevirus",3,186,0,1858
"Aurunvirus",0,189,0,1858
"Austintatiousvirus",0,189,0,1858
"Austwickia",0,189,0,1858
"Avastrovirus",0,189,0,1858
"Aveparvovirus",0,189,0,1858
"Aviadenovirus",0,189,0,1858
"Avibacterium",1,188,3,1855
"Avihepadnavirus",0,189,0,1858
"Avihepatovirus",0,189,0,1858
"Avipoxvirus",0,189,0,1858
"Avocadovirus",0,189,0,1858
"Avulavirus",0,189,0,1858
"Avunavirus",0,189,0,1858
"Azohydromonas",0,189,0,1858
"Azonexus",0,189,0,1858
"Azorhizobium",0,189,15,1843
"Azorudivirus",0,189,0,1858
"Azospirillum",2,187,48,1810
"Azotobacter",1,188,33,1825
"Azovibrio",0,189,0,1858
"Babuvirus",0,189,0,1858
"Bacilladnavirus",0,189,0,1858
"Bacillarnavirus",0,189,0,1858
"Backyardiganvirus",0,189,0,1858
"Bacterioplanes",0,189,0,1858
"Bacterioplanoides",0,189,0,1858
"Bacteriovorax",0,189,0,1858
"Bacteroides",174,15,470,1388
"Badnavirus",0,189,0,1858
"Baekduia",0,189,5,1853
"Bafinivirus",0,189,0,1858
"Baikalvirus",0,189,0,1858
"Balneatrix",0,189,0,1858
"Balneola",0,189,0,1858
"Baltivirus",0,189,0,1858
"Banmivirus",0,189,0,1858
"Baoshanvirus",0,189,0,1858
"Barbavirus",0,189,0,1858
"Barnavirus",0,189,0,1858
"Barnesiella",21,168,13,1845
"Barnyardlikevirus",0,189,0,1858
"Barrientosiimonas",0,189,3,1855
"Bartonella",5,184,103,1755
"Basfia",1,188,1,1857
"Basilea",0,189,0,1858
"Bastillevirus",0,189,0,1858
"Batrachovirus",0,189,0,1858
"Batravirus",0,189,0,1858
"Bcep22likevirus",0,189,0,1858
"Bcep78likevirus",0,189,0,1858
"Bdellomicrovirus",0,189,0,1858
"Bdellovibrio",1,188,15,1843
"Beecentumtrevirus",0,189,0,1858
"Beggiatoa",0,189,0,1858
"Begomovirus",0,189,0,1858
"Belliella",0,189,0,1858
"Bellilinea",0,189,0,1858
"Belnapia",0,189,0,1858
"Bendigovirus",0,189,0,1858
"Benyvirus",0,189,0,1858
"Beograduvirus",0,189,0,1858
"Bequatrovirus",0,189,0,1858
"Bergeyella",0,189,11,1847
"Berhavirus",0,189,0,1858
"Berlinvirus",0,189,0,1858
"Bermanella",0,189,0,1858
"Bernalvirus",0,189,0,1858
"Bernardetia",0,189,0,1858
"Berryella",0,189,8,1850
"Bertelyvirus",0,189,0,1858
"Besingivirus",0,189,0,1858
"Betabaculovirus",0,189,0,1858
"Betachrysovirus",0,189,0,1858
"Betacoronavirus",0,189,0,1858
"Betadintovirus",0,189,0,1858
"Betaentomopoxvirus",0,189,0,1858
"Betafusarivirus",0,189,0,1858
"Betafusellovirus",0,189,0,1858
"Betahypovirus",0,189,0,1858
"Betalipothrixvirus",0,189,0,1858
"Betanucleorhabdovirus",0,189,0,1858
"Betanudivirus",0,189,0,1858
"Betapapillomavirus",0,189,0,1858
"Betapartitivirus",15,174,58,1800
"Betapolyomavirus",0,189,1,1857
"Betaretrovirus",0,189,0,1858
"Betasatellite",0,189,0,1858
"Betatorquevirus",0,189,0,1858
"Betayadokarivirus",0,189,0,1858
"Bhargavaea",0,189,0,1858
"Bibersteinia",0,189,1,1857
"Bicaudavirus",0,189,0,1858
"Bifidobacterium",70,119,129,1729
"Bignuzlikevirus",0,189,0,1858
"Bignuzvirus",0,189,0,1858
"Bilophila",0,189,0,1858
"Bingvirus",0,189,0,1858
"Birpovirus",0,189,0,1858
"Bisgaardia",0,189,0,1858
"Bixzunavirus",0,189,0,1858
"Bizionia",0,189,0,1858
"Blastochloris",0,189,20,1838
"Blastococcus",0,189,6,1852
"Blastomonas",0,189,20,1838
"Blastopirellula",0,189,0,1858
"Blattabacterium",7,182,173,1685
"Blautia",126,63,39,1819
"Blohavirus",0,189,0,1858
"Blunervirus",0,189,0,1858
"Bocaparvovirus",0,189,0,1858
"Bohxovirus",0,189,0,1858
"Bombilactobacillus",0,189,3,1855
"Bongovirus",0,189,0,1858
"Bonnellvirus",0,189,0,1858
"Bordetella",22,167,119,1739
"Bornavirus",0,189,0,1858
"Borrelia",0,189,1,1857
"Borreliella",0,189,2,1856
"Bosavirus",0,189,0,1858
"Bossavirus",0,189,0,1858
"Botrexvirus",0,189,0,1858
"Botrytimonavirus",0,189,0,1858
"Bottigliavirus",0,189,0,1858
"Boudabousia",0,189,0,1858
"Bowservirus",0,189,0,1858
"Bppunalikevirus",0,189,0,1858
"Brachybacterium",0,189,20,1838
"Brachymonas",0,189,0,1858
"Brachyspira",1,188,9,1849
"Brackiella",0,189,0,1858
"Bracoviriform",0,189,0,1858
"Bracovirus",0,189,0,1858
"Bradymonas",0,189,0,1858
"Bremerella",0,189,0,1858
"Brenneria",0,189,3,1855
"Breoghania",0,189,4,1854
"Brevefilum",0,189,0,1858
"Brevidensovirus",0,189,0,1858
"Breznakiella",0,189,5,1853
"Brigitvirus",2,187,0,1858
"Bromovirus",0,189,0,1858
"Bronlikevirus",0,189,0,1858
"Brooklawnia",0,189,1,1857
"Brucella",33,156,282,1576
"Brucepastera",0,189,13,1845
"Brussowvirus",0,189,0,1858
"Bryobacter",0,189,0,1858
"Buchavirus",1,188,0,1858
"Buchnera",76,113,791,1067
"Buhlduvirus",0,189,0,1858
"Bulleidia",5,184,35,1823
"Buorbuivirus",0,189,0,1858
"Burrovirus",0,189,0,1858
"Burzaovirus",1,188,0,1858
"Buttiauxella",1,188,1,1857
"Butyricicoccus",0,189,0,1858
"Butyricimonas",63,126,13,1845
"Butyrivibrio",30,159,28,1830
"Bymovirus",0,189,0,1858
"C2likevirus",0,189,0,1858
"C5likevirus",0,189,0,1858
"Caballeronia",4,185,42,1816
"Cacepaovirus",0,189,0,1858
"Caedibacter",0,189,0,1858
"Caelumvirus",0,189,0,1858
"Caenibius",0,189,18,1840
"Caenimonas",0,189,0,1858
"Caenispirillum",0,189,0,1858
"Caeruleovirus",0,189,0,1858
"Cafeteriavirus",0,189,0,1858
"Caldalkalibacillus",0,189,0,1858
"Caldanaerobacter",0,189,0,1858
"Caldanaerobius",0,189,0,1858
"Caldibacillus",0,189,1,1857
"Caldicellulosiruptor",0,189,10,1848
"Caldichromatium",0,189,2,1856
"Caldicoprobacter",0,189,0,1858
"Caldilinea",0,189,0,1858
"Caldimicrobium",0,189,0,1858
"Caldimonas",6,183,58,1800
"Caldinitratiruptor",0,189,4,1854
"Caldisericum",0,189,0,1858
"Caldisphaera",0,189,0,1858
"Calditerrivibrio",0,189,1,1857
"Caldithrix",0,189,1,1857
"Caldivirga",0,189,0,1858
"Callevirus",0,189,0,1858
"Caloramator",0,189,5,1853
"Caloranaerobacter",0,189,2,1856
"Calothrix",0,189,4,1854
"Caminibacter",0,189,0,1858
"Caminicella",0,189,3,1855
"Campanilevirus",0,189,0,1858
"Campylobacter",110,79,959,899
"Camvirus",0,189,0,1858
"Candidatus_Accumulibacter",0,189,0,1858
"Candidatus_Amoebophilus",0,189,0,1858
"Candidatus_Aquiluna",0,189,0,1858
"Candidatus_Arthromitus",0,189,0,1858
"Candidatus_Atelocyanobacterium",0,189,0,1858
"Candidatus_Azobacteroides",0,189,0,1858
"Candidatus_Babela",0,189,0,1858
"Candidatus_Blochmannia",0,189,0,1858
"Candidatus_Brocadia",0,189,0,1858
"Candidatus_Cardinium",0,189,0,1858
"Candidatus_Cloacimonas",0,189,0,1858
"Candidatus_Competibacter",0,189,0,1858
"Candidatus_Contendobacter",0,189,0,1858
"Candidatus_Desulforudis",0,189,0,1858
"Candidatus_Endolissoclinum",0,189,0,1858
"Candidatus_Evansia",0,189,0,1858
"Candidatus_Glomeribacter",0,189,0,1858
"Candidatus_Halobonum",0,189,0,1858
"Candidatus_Hamiltonella",0,189,0,1858
"Candidatus_Hepatobacter",0,189,0,1858
"Candidatus_Ishikawaella",0,189,0,1858
"Candidatus_Jettenia",0,189,0,1858
"Candidatus_Korarchaeum",0,189,0,1858
"Candidatus_Koribacter",0,189,0,1858
"Candidatus_Liberibacter",0,189,0,1858
"Candidatus_Magnetobacterium",0,189,0,1858
"Candidatus_Methanomethylophilus",0,189,0,1858
"Candidatus_Methanoperedens",0,189,0,1858
"Candidatus_Methanoplasma",0,189,0,1858
"Candidatus_Methylopumilus",0,189,0,1858
"Candidatus_Microthrix",0,189,0,1858
"Candidatus_Midichloria",0,189,0,1858
"Candidatus_Moranella",0,189,0,1858
"Candidatus_Nasuia",0,189,0,1858
"Candidatus_Neoehrlichia",0,189,0,1858
"Candidatus_Nitrosoarchaeum",0,189,0,1858
"Candidatus_Nitrosocosmicus",0,189,0,1858
"Candidatus_Nitrosopelagicus",0,189,0,1858
"Candidatus_Nitrosotenuis",0,189,0,1858
"Candidatus_Odyssella",0,189,0,1858
"Candidatus_Paracaedibacter",0,189,0,1858
"Candidatus_Pelagibacter",0,189,0,1858
"Candidatus_Phaeomarinobacter",0,189,0,1858
"Candidatus_Photodesmus",0,189,0,1858
"Candidatus_Phytoplasma",0,189,0,1858
"Candidatus_Portiera",0,189,0,1858
"Candidatus_Profftella",0,189,0,1858
"Candidatus_Protochlamydia",0,189,0,1858
"Candidatus_Puniceispirillum",0,189,0,1858
"Candidatus_Regiella",0,189,0,1858
"Candidatus_Riesia",0,189,0,1858
"Candidatus_Ruthia",0,189,0,1858
"Candidatus_Schmidhempelia",0,189,0,1858
"Candidatus_Soleaferrea",0,189,0,1858
"Candidatus_Solibacter",0,189,0,1858
"Candidatus_Stoquefichus",0,189,0,1858
"Candidatus_Sulcia",0,189,0,1858
"Candidatus_Symbiobacter",0,189,0,1858
"Candidatus_Tachikawaea",0,189,0,1858
"Candidatus_Xiphinematobacter",0,189,0,1858
"Candidatus.Absconditicoccus",0,189,1,1857
"Candidatus.Amoebophilus",0,189,0,1858
"Candidatus.Annandia",1,188,68,1790
"Candidatus.Arcticimaribacter",0,189,1,1857
"Candidatus.Arthromitus",0,189,1,1857
"Candidatus.Atelocyanobacterium",0,189,2,1856
"Candidatus.Azoamicus",0,189,0,1858
"Candidatus.Azobacteroides",0,189,0,1858
"Candidatus.Babela",0,189,0,1858
"Candidatus.Bandiella",0,189,0,1858
"Candidatus.Baumannia",0,189,0,1858
"Candidatus.Bipolaricaulis",0,189,0,1858
"Candidatus.Blochmannia",0,189,3,1855
"Candidatus.Cardinium",0,189,1,1857
"Candidatus.Carsonella",63,126,800,1058
"Candidatus.Chazhemtobacterium",0,189,0,1858
"Candidatus.Chromulinivorax",0,189,0,1858
"Candidatus.Cloacimonas",0,189,2,1856
"Candidatus.Comchoanobacter",0,189,0,1858
"Candidatus.Contubernalis",0,189,0,1858
"Candidatus.Cytomitobacter",0,189,0,1858
"Candidatus.Desulforudis",0,189,2,1856
"Candidatus.Doolittlea",0,189,0,1858
"Candidatus.Endolissoclinum",0,189,0,1858
"Candidatus.Endoriftia",0,189,1,1857
"Candidatus.Fervidibacter",0,189,1,1857
"Candidatus.Fokinia",0,189,1,1857
"Candidatus.Fonsibacter",0,189,0,1858
"Candidatus.Formimonas",0,189,2,1856
"Candidatus.Fukatsuia",0,189,0,1858
"Candidatus.Gromoviella",0,189,0,1858
"Candidatus.Gullanella",0,189,0,1858
"Candidatus.Hamiltonella",0,189,0,1858
"Candidatus.Hepatoplasma",0,189,0,1858
"Candidatus.Hoaglandella",0,189,0,1858
"Candidatus.Hydrogenosomobacter",0,189,2,1856
"Candidatus.Ishikawaella",0,189,0,1858
"Candidatus.Karelsulcia",39,150,398,1460
"Candidatus.Kinetoplastibacterium",0,189,2,1856
"Candidatus.Korarchaeum",0,189,0,1858
"Candidatus.Koribacter",0,189,10,1848
"Candidatus.Kuenenia",0,189,0,1858
"Candidatus.Mancarchaeum",0,189,0,1858
"Candidatus.Methanoliparum",0,189,0,1858
"Candidatus.Methanomethylophilus",1,188,1,1857
"Candidatus.Methanoplasma",0,189,0,1858
"Candidatus.Methylopumilus",0,189,0,1858
"Candidatus.Methylospira",0,189,0,1858
"Candidatus.Micrarchaeum",0,189,0,1858
"Candidatus.Midichloria",0,189,0,1858
"Candidatus.Mikella",0,189,0,1858
"Candidatus.Minimicrobia",0,189,16,1842
"Candidatus.Moranella",0,189,0,1858
"Candidatus.Mycosynbacter",0,189,0,1858
"Candidatus.Nanohalobium",0,189,0,1858
"Candidatus.Nanopelagicus",0,189,0,1858
"Candidatus.Nanosynbacter",0,189,21,1837
"Candidatus.Nardonella",1,188,3,1855
"Candidatus.Neoehrlichia",0,189,0,1858
"Candidatus.Nesciobacter",0,189,0,1858
"Candidatus.Nitrosacidococcus",0,189,0,1858
"Candidatus.Nitrosocaldus",0,189,0,1858
"Candidatus.Nitrosocosmicus",0,189,0,1858
"Candidatus.Nitrosoglobus",0,189,0,1858
"Candidatus.Nitrosomarinus",0,189,0,1858
"Candidatus.Nitrosopelagicus",0,189,0,1858
"Candidatus.Nitrosotenuis",0,189,0,1858
"Candidatus.Nitrotoga",0,189,1,1857
"Candidatus.Nucleicultrix",0,189,0,1858
"Candidatus.Paracaedibacter",0,189,0,1858
"Candidatus.Pelagibacter",0,189,0,1858
"Candidatus.Pelagisphaera",1,188,278,1580
"Candidatus.Phycorickettsia",0,189,1,1857
"Candidatus.Phytoplasma",3,186,43,1815
"Candidatus.Planktophila",0,189,1,1857
"Candidatus.Portiera",0,189,0,1858
"Candidatus.Profftella",0,189,0,1858
"Candidatus.Profftia",0,189,0,1858
"Candidatus.Prometheoarchaeum",0,189,0,1858
"Candidatus.Promineifilum",0,189,1,1857
"Candidatus.Protochlamydia",0,189,0,1858
"Candidatus.Pseudothioglobus",0,189,0,1858
"Candidatus.Puniceispirillum",0,189,0,1858
"Candidatus.Purcelliella",3,186,53,1805
"Candidatus.Reidiella",0,189,0,1858
"Candidatus.Rhabdochlamydia",0,189,0,1858
"Candidatus.Riesia",0,189,0,1858
"Candidatus.Ruthturnera",0,189,0,1858
"Candidatus.Saccharimonas",0,189,0,1858
"Candidatus.Schneideria",0,189,0,1858
"Candidatus.Steffania",0,189,0,1858
"Candidatus.Sulfidibacterium",0,189,2,1856
"Candidatus.Symbiobacter",0,189,4,1854
"Candidatus.Syntrophocurvum",0,189,0,1858
"Candidatus.Tachikawaea",0,189,0,1858
"Candidatus.Thioglobus",0,189,0,1858
"Candidatus.Uabimicrobium",0,189,0,1858
"Candidatus.Vallotia",0,189,1,1857
"Candidatus.Velamenicoccus",0,189,1,1857
"Candidatus.Vesicomyosocius",0,189,0,1858
"Candidatus.Viadribacter",0,189,2,1856
"Candidatus.Walczuchella",0,189,1,1857
"Candidatus.Westeberhardia",0,189,0,1858
"Candidatus.Xiphinematobacter",0,189,0,1858
"Canhaevirus",2,187,0,1858
"Capillimicrobium",0,189,2,1856
"Capillovirus",0,189,0,1858
"Capnocytophaga",6,183,147,1711
"Capripoxvirus",0,189,0,1858
"Caproicibacter",1,188,2,1856
"Caproicibacterium",3,186,7,1851
"Caproiciproducens",1,188,3,1855
"Capsulimonas",0,189,7,1851
"Captovirus",0,189,0,1858
"Capulavirus",0,189,0,1858
"Carboxydocella",0,189,1,1857
"Carboxydothermus",0,189,0,1858
"Cardiobacterium",0,189,25,1833
"Cardiovirus",0,189,0,1858
"Carjivirus",13,176,1,1857
"Carlavirus",0,189,0,1858
"Carltongylesvirus",0,189,0,1858
"Carmovirus",0,189,0,1858
"Carnimonas",0,189,0,1858
"Carnobacterium",1,188,7,1851
"Caroctavirus",0,189,0,1858
"Casadabanvirus",0,189,0,1858
"Casaltella",0,189,0,1858
"Casimicrobium",0,189,14,1844
"Castellaniella",0,189,31,1827
"Catabacter",0,189,0,1858
"Catalinimonas",0,189,0,1858
"Catellatospora",0,189,0,1858
"Catellicoccus",0,189,0,1858
"Catelliglobosispora",0,189,0,1858
"Catenibacterium",12,177,10,1848
"Catenovulum",0,189,1,1857
"Catenulispora",0,189,0,1858
"Catenuloplanes",0,189,0,1858
"Catonella",0,189,0,1858
"Caulimovirus",0,189,0,1858
"Cavemovirus",0,189,0,1858
"Cbastvirus",0,189,0,1858
"Cbunavirus",0,189,0,1858
"Cecembia",0,189,0,1858
